e2_idxs	e1_label	probability	e2_label	sent_id	words	e1_idxs	doc_id	ext_id	is_correct	Wrong gene	multiple gene issue	wrong phenotype	split phenotype	no_phenotype_in_sentence	note	multisence_needed
[16, 17]	GeneName	0.7313731194071169	PhenoName	2	["Previous", "work", "showed", "that", "Arabidopsis", "_", "irregular", "xylem8", "_", "(", "_", "irx8", "_", ")", "mutants", "have", "collapsed", "xylem", "due", "to", "a", "reduction", "in", "xylan", "and", "a", "lesser", "reduction", "in", "a", "subfraction", "of", "homogalacturonan", "(", "HG", ")", "."]	[11]	10.3389.fpls.2014.00357	993	true	\N	\N	\N	\N	\N	\N	\N
[27]	GeneName	0.2689752697063351	PhenoName	32	["Here", ",", "we", "characterize", "the", "loss-of-function", "_", "rugosa1", "_", "(", "_", "rug1", "_", ")", "mutant", "of", "Arabidopsis", ";", "the", "leaves", "of", "_", "rug1", "_", "plants", "spontaneously", "develop", "small", "patches", "of", "necrotic", "tissue", "similar", "to", "those", "seen", "in", "lesion-mimic", "mutants", "."]	[22]	10.1371.journal.pone.0053378	169	false	\N	\N	true	\N	\N	\N	\N
[2]	GeneName	0.7315165608990394	PhenoName	175	["Only", "a", "small", "number", "of", "such", "transcripts", "were", "observed", "in", "_", "mtr4", "_", "mutants", "(", ",", ")", "and", "accumulated", "at", "lower", "levels", "(", ",", ")", ",", "indicating", "that", "MTR4", ",", "as", "compared", "with", "HEN2", ",", "has", "a", "rather", "minor", "contribution", "to", "nuclear", "mRNA", "surveillance", "."]	[11]	10.1371.journal.pgen.1004564	305	false	\N	\N	true	\N	true	\N	\N
[31]	GeneName	0.26812123481497485	PhenoName	147	["Comparison", "of", "wt", "and", "_", "ahr1", "_", "root", "tips", "revealed", "that", "the", "water", "deficit", "conditions", "of", "the", "horizontal", "WSMNM", "screening", "system", "damaged", "almost", "all", "the", "cells", "in", "root", "tips", "of", "the", "wt", ",", "since", "these", "readily", "accumulated", "propidium", "iodide", "."]	[5]	10.1093.jxb.ers025	1205	false	\N	\N	\N	true	\N	pheno: damaged...cells in root tips	\N
[30]	GeneName	0.2684035261283862	PhenoName	86	["When", "seeds", "subjected", "to", "one", "week", "of", "dry", "storage", "were", "stratified", "for", "3", "days", ",", "the", "differences", "in", "the", "rates", "of", "germination", "and", "cotyledon", "greening", "between", "_", "abi4", "_", "and", "WT", "were", "moderately", "reduced", "(", ",", ")", ",", "compared", "with", "the", "larger", "difference", "shown", "in", "and", "."]	[27]	10.1371.journal.pgen.1003577	417	false	\N	\N	\N	true	\N	\N	\N
[21]	GeneName	0.26723152295841107	PhenoName	138	["The", "frequency", "of", "_", "myb64", "myb119", "_", "gametophytes", "expressing", "_", "ProFIS2", ":", "GFP", "_", "was", "reduced", "as", "compared", "to", "the", "other", "central", "cell", "marker", "_", "ProDD65", ":", "GFP", "_", "(", "5", "%", "versus", "15", "%", ",", "respectively", ";", "two", "sample", "t-test", ":", "p-value", "=", "0.03", ")", ",", "and", "the", "difference", "between", "their", "frequencies", "roughly", "correlates", "with", "the", "number", "of", "seed-like", "structures", "observed", "in", "this", "genotype", "(", ")", ",", "suggesting", "that", "the", "autonomous", "seeds", "may", "arise", "from", "_", "myb64", "myb119", "_", "gametophytes", "with", "central", "cell", "identity", "but", "without", "a", "functional", "FIS", "PRC2", "."]	[78]	10.1371.journal.pgen.1003783	1313	false	\N	true	\N	\N	true	\N	\N
[10]	GeneName	0.2687265758963888	PhenoName	121	["Interestingly", ",", "we", "observed", "differences", "in", "the", "response", "to", "light", "intensity", "between", "_", "hda6", "_", "and", "_", "phyB5", "_", "."]	[13]	10.1371.journal.pgen.1000638	845	false	\N	\N	\N	\N	\N	\N	\N
[7]	GeneName	0.26867133242374847	PhenoName	152	["However", ",", "our", "data", "show", "that", "these", "severe", "defects", "can", "be", "suppressed", "by", "ALG10", "deficiency", ",", "suggesting", "that", "-", "glucosidase", "I", "_", "per", "se", "_", "is", "not", "essential", "for", "embryo", "development", "and", "the", "lethality", "is", "caused", "by", "the", "presence", "of", "the", "terminal", "1,2-linked", "glucose", "that", "blocks", "further", "trimming", "of", "the", "_", "N", "_", "-", "glycan", "."]	[23]	10.1111.j.1365-313X.2011.04688.x	912	false	true	\N	\N	\N	\N	\N	\N
[18]	GeneName	0.267933346952562	PhenoName	197	["Indeed", ",", "our", "results", "revealed", "that", "the", "ABA", "level", "in", "_", "cyp707a2", "_", "is", "significantly", "increased", "compared", "to", "WT", "(", ")", ",", "which", "is", "consistent", "with", "the", "previous", "study", "."]	[11]	10.1371.journal.pgen.1003577	471	false	\N	\N	\N	true	\N	\N	\N
[12]	GeneName	0.26852366131161387	PhenoName	92	["Consistent", "with", "these", "results", ",", "we", "also", "did", "not", "detect", "differences", "in", "cotyledon", "greening", "rates", "between", "_", "abi4", "_", "and", "WT", "when", "we", "employed", "fully", "after-ripened", "seeds", "."]	[17]	10.1371.journal.pgen.1003577	426	false	\N	\N	\N	\N	\N	\N	\N
[34]	GeneName	0.26776927120173394	PhenoName	112	["A", "total", "of", "13", "genes", "related", "to", "auxin", "response", "(", "included", "in", "the", "systemic", "interaction", "with", "the", "environment", "class", ")", "were", "misregulated", "in", "_", "rug1", "_", ",", "12", "of", "them", "belonging", "to", "the", "_", "SMALL", "AUXIN-UP", "RNA", "_", "(", "_", "SAUR", "_", ")", "family", "of", "auxin-inducible", "genes", "(", ")", ",", "which", "are", "rapidly", "upregulated", "after", "auxin", "exposure", "."]	[24]	10.1371.journal.pone.0053378	194	false	\N	\N	\N	\N	true	\N	\N
[73]	GeneName	0.26714811671583566	PhenoName	26	["The", "_", "taa1", "_", "plant", "has", "a", "decreased", "level", "of", "endogenous", "IAA", "and", "displays", "defects", "in", "shade", "avoidance", "and", "root-specific", "ethylene", "sensitivity", ",", "and", "the", "simultaneous", "mutation", "of", "_", "TAA1", "_", "and", "its", "close", "homologs", "(", "_", "TAR1", "_", "and", "_", "TAR2", "_", ")", "results", "in", "phenotypes", "that", "are", "obviously", "auxin-related", ",", "such", "as", "reduced", "gravitropic", "response", "of", "roots", ",", "shortened", "hypocotyls", ",", "and", "_", "monopteros", "-", "_", "like", "seedlings", "with", "a", "single", "cotyledon", "."]	[2]	10.1371.journal.pgen.1003759	837	false	\N	\N	true	\N	\N	\N	\N
[40]	GeneName	0.26701735147477124	PhenoName	140	["As", "with", "_", "myb64", "myb119", "_", ",", "the", "_", "cki1", "_", "mutation", "affects", "stage", "FG5", "of", "female", "gametophyte", "development", "and", "occasionally", "produces", "female", "gametophytes", "containing", "supernumerary", "nuclei", ",", "suggesting", "that", "_", "CKI1", "_", "may", "also", "be", "required", "for", "the", "FG5", "transition", "."]	[4]	10.1371.journal.pgen.1003783	1316	false	\N	true	true	\N	\N	\N	\N
[27]	GeneName	0.2681786180312069	PhenoName	112	["Thus", ",", "among", "the", "progeny", ",", "plants", "harbouring", "a", "_", "wrky34", "_", "allele", "were", "significantly", "more", "frequent", "than", "plants", "harbouring", "a", "_", "WRKY34", "_", "allele", "(", "the", "WT", ")", ",", "which", "indicated", "that", "differential", "gametophytic", "viability", "existed", "after", "exposure", "to", "cold", "stress", "."]	[10]	10.1093.jxb.erq204	1376	false	\N	\N	\N	\N	true	\N	\N
[10]	GeneName	0.26949030982887034	PhenoName	110	["Compared", "with", "wild-type", "seedlings", ",", "_", "mterf15", "_", "seedlings", "were", "small", "in", "stature", ",", "had", "small", "cotyledons", "and", "displayed", "reduced", "growth", "of", "primary", "roots", "."]	[6]	10.1371.journal.pone.0112360	783	false	\N	\N	true	\N	\N	\N	\N
[25]	GeneName	0.2682025956991391	PhenoName	23	["Given", "the", "strong", "_", "pin1", "_", "phenotype", ",", "one", "would", "expect", "at", "least", "some", "type", "of", "intermediate", "phenotype", "in", "the", "lines", "complemented", "by", "the", "S4A", "variant", "if", "this", "site", "matters", "."]	[4]	10.7554.eLife.02860.034	1128	false	\N	\N	\N	\N	true	\N	\N
[15, 16]	GeneName	0.8806709599143078	PhenoName	169	["_", "agl24", "_", "mutants", "show", "delayed", "flowering", "while", "_", "agl24", "svp", "_", "double", "mutants", "are", "early", "flowering", "as", "_", "svp", "_", "single", "mutants", "-LSB-", "-RSB-", "."]	[19]	10.1371.journal.pgen.1004944	1646	true	\N	\N	\N	\N	\N	\N	\N
[65]	GeneName	0.26672149095509934	PhenoName	255	["Although", "the", "decreased", "ABA", "level", "and", "increased", "GA", "content", "in", "_", "abi4", "_", "seeds", "are", "responsible", "for", "the", "reduced", "primary", "seed", "dormancy", "in", "this", "mutant", "(", ",", ",", ")", ",", "it", "is", "noteworthy", "that", "reduced", "seed", "dormancy", "was", "also", "detected", "when", "the", "short-term", "stored", "_", "abi4", "_", "seeds", "were", "stratified", "(", ")", ",", "even", "the", "corresponding", "ABA", "levels", "were", "comparable", "between", "_", "abi4", "_", "and", "WT", "after", "stratification", "treatment", "."]	[11]	10.1371.journal.pgen.1003577	487	false	\N	\N	true	\N	\N	\N	\N
[13]	GeneName	0.2689299821996491	PhenoName	313	["Compared", "to", "WT", "fiber", "cells", ",", "there", "is", "a", "reduction", "in", "the", "labeling", "intensity", "in", "_", "irx8", "_", "fibers", "with", "LM10", ",", "CCRC-M137", ",", "and", "CCRC-M160", "."]	[16]	10.3389.fpls.2014.00357	1012	false	\N	\N	\N	\N	true	\N	\N
[22]	GeneName	0.5001838800987068	PhenoName	153	["In", "untreated", "WT", "and", "_", "wrky34", "_", "mutant", "plants", ",", "the", "levels", "of", "MIKC", "*", "transcripts", "showed", "no", "significant", "difference", "between", "the", "WT", "and", "_", "wrky34", "_", "mutants", "."]	[5]	10.1093.jxb.erq204	1406	false	\N	\N	\N	\N	\N	\N	\N
[2]	GeneName	0.2690910160768865	PhenoName	63	["The", "earlier", "onset", "of", "developmental", "phenotypes", "in", "_", "stn1", "(", "C", ")", "_", "plants", "inversely", "correlated", "with", "telomere", "length", "as", "G1", "_", "stn1", "(", "C", ")", "_", "and", "_", "stn1", "(", "W/C", ")", "_", "telomeres", "were", "on", "average", "2,2", "and", "2,8", "kb", ",", "respectively", "."]	[8]	10.1371.journal.pgen.1004682	1440	false	\N	\N	\N	\N	true	\N	\N
[31]	GeneName	0.7331706847108115	PhenoName	2	["Previously", ",", "we", "reported", "that", "upregulation", "of", "_", "YSL1", "_", "and", "_", "YSL3", "_", "under", "excess", "Cu", "caused", "high", "accumulation", "of", "Cu", "in", "the", "_", "siz1", "_", "mutant", ",", "impaired", "in", "small", "ubiquitin-like", "modifier", "(", "SUMO", ")", "E3", "ligase", "."]	[25]	10.1371.journal.pone.0098008	957	false	\N	\N	true	\N	\N	\N	\N
[27]	GeneName	0.8819504593379623	PhenoName	54	["To", "determine", "whether", "cold", "stress", "affects", "the", "segregation", "ratio", "of", "progeny", "from", "self-fertilized", "_", "WRKY34/wrky34", "_", "heterozygotes", "produced", "by", "crosses", "between", "_", "wrky34", "_", "mutants", "and", "the", "WT", ",", "and", "because", "_", "WRKY34", "_", "was", "expressed", "only", "in", "pollen", ",", "plants", "with", "flowers", "at", "stage", "13", "were", "treated", "with", "cold", "stress", ";", "flowers", "from", "untreated", "greenhouse-grown", "plants", "were", "used", "as", "the", "control", "."]	[22]	10.1093.jxb.erq204	1373	false	\N	\N	\N	\N	true	\N	\N
[15]	GeneName	0.26923514007229105	PhenoName	89	["Indeed", ",", "the", "_", "abi4", "_", "seeds", "subjected", "to", "short-term", "storage", "germinated", "more", "quickly", "than", "WT", ",", "especially", "without", "stratification", "treatment", "."]	[4]	10.1371.journal.pgen.1003577	425	false	\N	\N	true	\N	\N	\N	\N
[7]	GeneName	0.7336629029334557	PhenoName	171	["The", "_", "gsd1", "_", "mutant", "exhibits", "a", "large", "reduction", "in", "total", "wax", "that", "is", "due", "mainly", "to", "the", "decrease", "in", "the", "production", "of", "the", "very-long-chain", "alkane", ",", "secondary", "alcohol", ",", "and", "ketone", "precursors", "."]	[2]	10.1093.jxb.ers191	1703	false	\N	\N	true	\N	\N	\N	\N
[16]	GeneName	0.2701522243005953	PhenoName	55	["The", "resulting", "first", "generation", "(", "G1", ")", "_", "stn1", "(", "W/C", ")", "_", "mutants", "displayed", "only", "mild", "growth", "defects", "and", "a", "low", "frequency", "of", "anaphase", "bridges", "."]	[8]	10.1371.journal.pgen.1004682	1437	false	\N	\N	true	\N	\N	\N	\N
